query-id	corpus-id	score
COMP_4_079	COMP2011_ch13_44	1
COMP_4_080	COMP2011_ch14_1	1
COMP_4_081	COMP2011_ch14_5	1
COMP_4_082	COMP2011_ch14_9	1
COMP_4_083	COMP2011_ch14_13	1
COMP_4_084	COMP2011_ch14_17	1
COMP_4_085	COMP2011_ch15_1	1
COMP_4_086	COMP2011_ch15_5	1
COMP_4_087	COMP2011_ch15_9	1
COMP_4_088	COMP2011_ch15_14	1
COMP_4_089	COMP2011_ch15_18	1
COMP_4_090	COMP2011_ch16_1	1
COMP_4_091	COMP2011_ch16_3	1
COMP_4_092	COMP2011_ch16_6	1
COMP_4_093	COMP2011_ch16_9	1
COMP_4_094	COMP2011_ch16_11	1
COMP_4_095	COMP2011_ch17_1	1
COMP_4_096	COMP2011_ch17_6	1
COMP_4_097	COMP2011_ch17_11	1
COMP_4_098	COMP2011_ch17_15	1
COMP_4_099	COMP2011_ch17_20	1
COMP_4_100	COMP2011_ch18_1	1
COMP_4_101	COMP2011_ch18_4	1
COMP_4_102	COMP2011_ch18_7	1
COMP_4_103	COMP2011_ch18_9	1
COMP_4_104	COMP2011_ch18_12	1
COMP_4_105	COMP2012_ch1_1	1
COMP_4_106	COMP2012_ch1_13	1
COMP_4_107	COMP2012_ch1_25	1
COMP_4_108	COMP2012_ch1_36	1
COMP_4_109	COMP2012_ch1_48	1
COMP_4_110	COMP2012_ch2_1	1
COMP_4_111	COMP2012_ch2_17	1
COMP_4_112	COMP2012_ch2_32	1
COMP_4_113	COMP2012_ch2_47	1
COMP_4_114	COMP2012_ch2_63	1
COMP_4_115	COMP2012_ch3_1	1
COMP_4_116	COMP2012_ch3_27	1
COMP_4_117	COMP2012_ch3_54	1
COMP_4_118	COMP2012_ch3_81	1
COMP_4_119	COMP2012_ch3_107	1
COMP_4_120	COMP2012_ch4_1	1
COMP_4_121	COMP2012_ch4_20	1
COMP_4_122	COMP2012_ch4_39	1
COMP_4_123	COMP2012_ch4_58	1
COMP_4_124	COMP2012_ch4_77	1
COMP_4_125	COMP2012_ch5_1	1
COMP_4_126	COMP2012_ch5_5	1
COMP_4_127	COMP2012_ch5_8	1
COMP_4_128	COMP2012_ch5_11	1
COMP_4_129	COMP2012_ch5_15	1
COMP_4_130	COMP2012_ch6_1	1
COMP_4_131	COMP2012_ch6_13	1
COMP_4_132	COMP2012_ch6_24	1
COMP_4_133	COMP2012_ch6_35	1
COMP_4_134	COMP2012_ch6_47	1
COMP_4_135	COMP2012_ch7_1	1
COMP_4_136	COMP2012_ch7_9	1
COMP_4_137	COMP2012_ch7_17	1
COMP_4_138	COMP2012_ch7_25	1
COMP_4_139	COMP2012_ch7_33	1
COMP_4_140	COMP2012_ch8_1	1
COMP_4_141	COMP2012_ch8_9	1
COMP_4_142	COMP2012_ch8_18	1
COMP_4_143	COMP2012_ch8_27	1
COMP_4_144	COMP2012_ch8_35	1
COMP_4_145	COMP2012_ch9_1	1
COMP_4_146	COMP2012_ch9_5	1
COMP_4_147	COMP2012_ch9_10	1
COMP_4_148	COMP2012_ch9_15	1
COMP_4_149	COMP2012_ch9_19	1
COMP_4_150	COMP2012_ch10_1	1
COMP_4_151	COMP2012_ch10_4	1
COMP_4_152	COMP2012_ch10_7	1
COMP_4_153	COMP2012_ch10_10	1
COMP_4_154	COMP2012_ch10_13	1
COMP_4_155	COMP2012_ch11_1	1
COMP_4_156	COMP2012_ch11_6	1
COMP_4_157	COMP2012_ch11_11	1
COMP_4_158	COMP2012_ch11_17	1
COMP_4_159	COMP2012_ch11_22	1
COMP_4_160	COMP2012_ch12_1	1
COMP_4_161	COMP2012_ch12_16	1
COMP_4_162	COMP2012_ch12_31	1
COMP_4_163	COMP2012_ch12_45	1
COMP_4_164	COMP2012_ch12_60	1
